ID  ,Compound                                                  ,Class   ,CAS       ,Mass ,CP-Wax,CW-20M,DB-1701,DB-Wax,DB1,HP1,OV-101,OV-1701,SE5,SP-Wax,SP-Wax10,SPB-1,Odour       ,almond,burnt,ID <Link>                                               
44  ,2-formyl-3-methylthiophene                                ,        ,          ,126  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=44 
45  ,"3,5-dimethyl-1,2,4-trithiolane"                          ,        ,          ,152  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=45 
46  ,2-acetyl-5-methylthiophene                                ,        ,          ,140  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=46 
47  ,2-acetyl-3-methylthiophene                                ,        ,          ,140  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=47 
48  ,2-pentylthiophene                                         ,        ,          ,154  ,1440  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=48 
49  ,nonanol                                                   ,        ,          ,144  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=49 
50  ,1-(2-furfuryl)pyrrole                                     ,        ,          ,147  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=50 
51  ,2-propionylthiophene (1-(2-thienyl)-1-propanone)          ,        ,          ,140  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=51 
52  ,2-heptylfuran                                             ,        ,          ,166  ,1416  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=52 
53  ,2-pentylpyridine                                          ,        ,          ,199  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=53 
